MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,EnergyPowerUtil.powerReading,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T02:00:00-0500,24,0,-,-,-,-, 1451,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T04:00:00-0500,24,0,-,-,-,-,1334.304,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T04:00:00-0500,24,0,-,-,-,-, 1296,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T04:00:00-0500,24,0,-,-,-,-, 1439,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T06:00:00-0500,24,0,-,-,-,-,1337.100,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T06:00:00-0500,24,0,-,-,-,-, 1311,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T06:00:00-0500,24,0,-,-,-,-, 1431,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T08:00:00-0500,24,0,-,-,-,-,1356.763,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T08:00:00-0500,24,0,-,-,-,-, 1320,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-29T08:00:00-0500,24,0,-,-,-,-, 1465,1,Inlet, 22,
